item	roi	word	surprisal	retrieval
531	4	हैं	0.00545	244.57055928758768
531	5	।	0.00587	218.64204918486348
539	1	[noise]	0.72736	51.0
539	2	अच्छा	0.50788	224.30855296529046
539	3	अच्छा	0.07080	145.6171059305808
539	4	।	0.02247	200.05665267703773
546	1	ऐड	0.49703	51.0
546	2	निकाल	0.17786	224.30855296529046
546	3	दो	0.03990	123.30855296529046
546	4	मिल	0.09122	244.57055928758768
546	5	ही	0.02291	123.30855296529046
546	6	जाएगी	0.00997	197.78527964379384
546	7	।	0.07112	291.5355119545238
554	1	ह्म	0.08689	101.0
554	2	।	0.00378	123.30855296529043
562	1	तो	0.36147	51.0
562	2	।	1.03579	224.30855296529046
569	1	तो	0.36147	51.0
569	2	और	0.03486	51.0
569	3	क्या	1.48762	174.30855296529046
569	4	हो	0.12334	387.7550883222742
569	5	रहा	0.00359	123.30855296529046
569	6	है	0.00625	244.5705592875878
569	7	।	0.00416	218.64204918486348
576	1	तो	0.36147	51.0
576	2	[incomprehensible]	0.22568	51.0
576	3	का	0.24867	123.30855296529043
576	4	पढ़ाई	0.67437	248.78527964379387
576	5	हो	0.16595	401.66044245787884
576	6	गया	0.00332	123.30855296529046
576	7	।	0.00323	197.78527964379361
584	1	और	0.07862	51.0
584	2	कुछ	0.22595	51.0
584	3	नहीं	0.48688	51.0
584	4	[incomprehensible]	1.35312	537.5364587679538
584	5	।	0.03008	123.30855296529046
592	1	[incomprehensible]	0.89742	51.0
592	2	अब	1.07829	174.30855296529043
592	3	म	0.04240	51.00000000000003
592	4	मग्गा	0.34146	196.6171059305808
592	5	मार	0.24978	389.47445168586114
592	6	रही	0.00392	123.30855296529046
592	7	है	0.00643	244.57055928758757
592	8	।	0.00586	218.64204918486348
600	1	[laughter]	0.86480	101.0
600	2	क्या	0.54082	123.30855296529043
600	3	प्रपोज़ल	1.00287	101.00000000000003
600	4	हो	0.11420	286.6769064203154
600	5	गया	0.02573	123.30855296529046
600	6	उस	1.42956	101.0
600	7	का	0.01845	123.30855296529046
600	8	।	0.45950	197.78527964379384
607	1	वो	0.25433	51.0
607	2	तो	0.11356	123.30855296529043
607	3	पहले	0.43283	101.00000000000003
607	4	हो	0.15012	387.6769064203154
607	5	चुका	0.00444	123.30855296529046
607	6	है	0.00685	244.57055928758768
607	7	।	0.00371	218.64204918486348
615	1	अब	0.26177	51.0
615	2	तो	0.12199	123.30855296529043
615	3	थीसिस	0.47124	101.00000000000003
615	4	वीसिस	1.33503	123.30855296529046
615	5	मतलब	0.71939	101.0
615	6	खतम	0.25312	51.0
615	7	करने	0.33455	749.299660263857
615	8	के	0.00126	145.61710593058092
615	9	मूड	0.45482	298.1699580311133
615	10	में	0.00736	167.92565889587127
615	11	है	0.11878	253.45482814202614
615	12	।	0.03459	300.57927823410364
623	1	अच्छा	0.23211	101.0
623	2	।	0.00211	123.30855296529043
631	1	हाँ	0.18068	101.0
631	2	।	0.00491	123.30855296529043
639	1	मतलब	0.32433	51.0
639	2	वो	0.03251	51.0
639	3	फ़ाइनल	1.21174	174.30855296529046
639	4	चैप्टर्ज़	0.83235	196.6171059305808
639	5	लिखे	0.22558	401.5857558503037
639	6	जा	0.00321	123.30855296529046
639	7	रहे	0.00470	244.57055928758757
639	8	हैं	0.00714	353.92614755459044
639	9	टाइप	0.38071	419.8166082670591
639	10	।	0.01983	261.117364573626
647	1	ह्म	0.08689	101.0
647	2	ह्म	0.01347	123.30855296529043
647	3	।	0.00414	197.78527964379387
655	1	तो	0.36147	51.0
655	2	वो	0.16090	51.0
655	3	एटीएंडटी	0.15530	51.0
655	4	में	0.04001	123.30855296529046
655	5	काम	0.81083	101.0
655	6	कर	0.37540	757.6804683661263
655	7	रही	0.00258	123.30855296529035
655	8	है	0.00583	244.57055928758768
655	9	कि	0.15423	101.0
655	10	केवल	0.29900	51.0
655	11	अह	0.19465	51.0
655	12	ये	0.50183	196.61710593058092
655	13	कम्प्यूटर	0.80972	51.0
655	14	के	0.01848	145.61710593058092
655	15	लिए	0.03824	298.1699580311133
655	16	जा	0.25197	1693.2700685415462
655	17	रही	0.00789	167.9256588958715
655	18	है	0.00802	355.9096562840523
655	19	।	0.07118	389.2187453657216
663	1	और	0.91841	101.0
663	2	।	0.01057	123.30855296529043
671	1	एटीएंडटी	0.72029	51.0
671	2	में	0.04389	123.30855296529043
671	3	उस	0.34014	101.00000000000003
671	4	को	0.02440	145.6171059305808
671	5	ऑनरेरि	0.41798	101.0
671	6	ऑफ़िस	1.86588	767.5867343546445
671	7	मिला	0.19582	123.30855296529035
671	8	हुआ	0.04440	123.30855296529035
671	9	है	0.02018	244.57055928758768
671	10	और	1.73649	151.0
671	11	कम्प्यूटर	0.47596	51.0
671	12	ऐक्सेस	1.95906	471.73896506242386
671	13	है	0.59252	145.6171059305807
671	14	।	0.01361	320.42416703416575
679	1	हाँ	0.18068	101.0
679	2	।	0.00491	123.30855296529043
687	1	अरे	0.10368	101.0
687	2	।	0.00309	123.30855296529043
695	1	काम	0.40402	51.0
695	2	थोड़ी	0.71454	224.30855296529046
695	3	है	0.00275	145.6171059305808
695	4	।	0.00758	200.05665267703773
702	1	मतलब	0.32433	51.0
702	2	काम	0.30463	51.0
702	3	तो	0.09205	123.30855296529043
702	4	अपना	0.60448	101.00000000000003
702	5	करती	0.25373	566.0181942237117
702	6	है	0.00113	123.30855296529046
702	7	।	0.00292	197.78527964379361
710	1	[laughter]	0.86480	101.0
710	2	।	0.00914	123.30855296529043
718	1	हाँ	0.18068	101.0
718	2	हाँ	0.04620	123.30855296529043
718	3	।	0.00749	197.78527964379387
726	1	बट	0.29885	51.0
726	2	थीसिस	1.51722	224.30855296529046
726	3	लिखती	0.13182	123.30855296529046
726	4	है	0.00793	123.30855296529046
726	5	फ़्रेममेकर	0.98486	263.2900734249914
726	6	4	0.96882	101.0
726	7	पे	0.81490	145.61710593058092
726	8	।	0.96439	400.2143160456742
734	1	हाँ	0.18068	101.0
734	2	हाँ	0.12402	123.30855296529043
734	3	[noise]	0.65448	197.78527964379387
734	4	।	0.00688	215.17868526501138
742	1	अपना	0.30325	51.0
742	2	केडैंस	0.32098	51.0
742	3	में	0.04001	123.30855296529043
742	4	अह	0.18873	101.00000000000003
742	5	इधर	1.06950	174.30855296529046
742	6	उधर	1.06970	51.0
742	7	जाने	0.30871	760.2887575873476
742	8	का	0.00148	145.61710593058092
742	9	मौका	0.47572	249.11330535407546
742	10	मिलता	0.24149	290.1038305758266
742	11	है	0.00258	123.30855296529035
742	12	कि	0.33152	101.0
742	13	वहीं	0.16674	51.0
